filename,length,angle
000000000328_1_0.png,1,0
000000000623_1_0.png,1,0
000000000415_1_0.png,1,0
000000002142_1_0.png,1,0
000000000831_1_0.png,1,0
000000002525_2_-45.png,2,-45
000000003001_2_45.png,2,45
000000002613_2_-45.png,2,-45
000000002923_2_90.png,2,90
000000002867_2_-45.png,2,-45
000000003326_3_-30.png,3,-30
000000003145_3_-30.png,3,-30
000000003209_3_90.png,3,90
000000003342_3_45.png,3,45
000000003192_3_45.png,3,45
000000003488_4_68.png,4,68
000000003580_4_-68.png,4,-68
000000003703_4_68.png,4,68
000000003501_4_68.png,4,68
000000003590_4_-22.png,4,-22
000000003845_5_17.png,5,17
000000003845_5_72.png,5,72
000000003786_5_17.png,5,17
000000003849_5_60.png,5,60
000000003761_5_-72.png,5,-72
000000003867_6_32.png,6,32
000000003926_6_-58.png,6,-58
000000003865_6_32.png,6,32
000000003947_6_-25.png,6,-25
000000003938_6_-75.png,6,-75
000000004079_7_69.png,7,69
000000004092_7_28.png,7,28
000000004093_7_-33.png,7,-33
000000004079_7_-28.png,7,-28
000000004079_7_90.png,7,90
000000004125_8_-64.png,8,-64
000000004134_8_0.png,8,0
000000004175_8_-29.png,8,-29
000000004134_8_-29.png,8,-29
000000004187_8_-25.png,8,-25
000000004229_9_-80.png,9,-80
000000004243_9_9.png,9,9
000000004227_9_0.png,9,0
000000004229_9_80.png,9,80
000000004256_9_-59.png,9,-59
000000004265_10_-69.png,10,-69
000000004286_10_69.png,10,69
000000004296_10_20.png,10,20
000000004296_10_-57.png,10,-57
000000004275_10_8.png,10,8
000000004355_11_-30.png,11,-30
000000004355_11_30.png,11,30
000000004355_11_82.png,11,82
000000004355_11_-34.png,11,-34
000000004312_11_82.png,11,82
000000004392_12_-58.png,12,-58
000000004395_12_58.png,12,58
000000004395_12_-34.png,12,-34
000000004396_12_73.png,12,73
000000004396_12_-7.png,12,-7
000000004551_13_79.png,13,79
000000004497_13_65.png,13,65
000000004498_13_-48.png,13,-48
000000004509_13_-45.png,13,-45
000000004551_13_-79.png,13,-79
000000004620_14_59.png,14,59
000000004620_14_45.png,14,45
000000004554_14_-57.png,14,-57
000000004554_14_90.png,14,90
000000004576_14_-23.png,14,-23
000000004700_15_-80.png,15,-80
000000004700_15_-9.png,15,-9
000000004665_15_69.png,15,69
000000004665_15_-45.png,15,-45
000000004688_15_48.png,15,48
000000004731_16_16.png,16,16
000000004731_16_-35.png,16,-35
000000004731_16_81.png,16,81
000000004736_16_-68.png,16,-68
000000004736_16_-81.png,16,-81
000000004749_17_22.png,17,22
000000004749_17_81.png,17,81
000000004749_17_18.png,17,18
000000004749_17_42.png,17,42
000000004764_17_42.png,17,42
000000004765_18_72.png,18,72
000000004795_18_45.png,18,45
000000004795_18_-18.png,18,-18
000000004765_18_-8.png,18,-8
000000004795_18_5.png,18,5
000000004936_19_85.png,19,85
000000004840_19_56.png,19,56
000000004916_19_70.png,19,70
000000004916_19_53.png,19,53
000000004916_19_38.png,19,38
000000004979_20_10.png,20,10
000000004979_20_-74.png,20,-74
000000004972_20_62.png,20,62
000000004975_20_10.png,20,10
000000004975_20_72.png,20,72
000000004988_21_53.png,21,53
000000004988_21_21.png,21,21
000000005001_21_9.png,21,9
000000005001_21_-7.png,21,-7
000000004988_21_86.png,21,86
000000005033_22_86.png,22,86
000000005037_22_34.png,22,34
000000005033_22_81.png,22,81
000000005033_22_20.png,22,20
000000005037_22_58.png,22,58
000000005060_23_9.png,23,9
000000005038_23_84.png,23,84
000000005038_23_25.png,23,25
000000005038_23_-59.png,23,-59
000000005064_23_-14.png,23,-14
000000005076_24_-21.png,24,-21
000000005076_24_52.png,24,52
